symbol,yfinance_symbol,company_name,industry
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,FINANCIAL SERVICES
SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners Ltd.,AUTOMOBILE
SUNTECK,SUNTECK.NS,Sunteck Realty Ltd.,CONSTRUCTION
SUPRAJIT,SUPRAJIT.NS,Suprajit Engineering Ltd.,AUTOMOBILE
SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING
SUVEN,SUVEN.NS,Suven Life Sciences Ltd.,PHARMA
SUZLON,SUZLON.NS,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING
SWANENERGY,SWANENERGY.NS,Swan Energy Ltd.,TEXTILES
SYMPHONY,SYMPHONY.NS,Symphony Ltd.,CONSUMER GOODS
SYNDIBANK,SYNDIBANK.NS,Syndicate Bank,FINANCIAL SERVICES
SYNGENE,SYNGENE.NS,Syngene International Ltd.,PHARMA
TCNSBRANDS,TCNSBRANDS.NS,TCNS Clothing Co. Ltd.,TEXTILES
TTKPRESTIG,TTKPRESTIG.NS,TTK Prestige Ltd.,CONSUMER GOODS
TVTODAY,TVTODAY.NS,TV Today Network Ltd.,MEDIA & ENTERTAINMENT
TV18BRDCST,TV18BRDCST.NS,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,AUTOMOBILE
TAKE,TAKE.NS,Take Solutions Ltd.,IT
TNPL,TNPL.NS,Tamil Nadu Newsprint & Papers Ltd.,PAPER
TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,CHEMICALS
TATACOFFEE,TATACOFFEE.NS,Tata Coffee Ltd.,CONSUMER GOODS
TCS,TCS.NS,Tata Consultancy Services Ltd.,IT
TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,IT
TATAGLOBAL,TATAGLOBAL.NS,Tata Global Beverages Ltd.,CONSUMER GOODS
TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,FINANCIAL SERVICES
TATAMTRDVR,TATAMTRDVR.NS,Tata Motors Ltd DVR,AUTOMOBILE
TATAMOTORS,TATAMOTORS.NS,Tata Motors Ltd.,AUTOMOBILE
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,ENERGY
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,METALS
TEAMLEASE,TEAMLEASE.NS,Teamlease Services Ltd.,SERVICES
TECHM,TECHM.NS,Tech Mahindra Ltd.,IT
NIACL,NIACL.NS,The New India Assurance Company Ltd.,FINANCIAL SERVICES
RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS
THERMAX,THERMAX.NS,Thermax Ltd.,INDUSTRIAL MANUFACTURING
THOMASCOOK,THOMASCOOK.NS,Thomas Cook (India) Ltd.,SERVICES
THYROCARE,THYROCARE.NS,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES
TIMETECHNO,TIMETECHNO.NS,Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING
TIMKEN,TIMKEN.NS,Timken India Ltd.,INDUSTRIAL MANUFACTURING
TITAN,TITAN.NS,Titan Company Ltd.,CONSUMER GOODS
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,PHARMA
TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,ENERGY
TRENT,TRENT.NS,Trent Ltd.,CONSUMER GOODS
TRIDENT,TRIDENT.NS,Trident Ltd.,TEXTILES
TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING
TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,AUTOMOBILE
UCOBANK,UCOBANK.NS,UCO Bank,FINANCIAL SERVICES
UFLEX,UFLEX.NS,UFLEX Ltd.,INDUSTRIAL MANUFACTURING
UPL,UPL.NS,UPL Ltd.,FERTILISERS & PESTICIDES
UJJIVAN,UJJIVAN.NS,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS
UNIONBANK,UNIONBANK.NS,Union Bank of India,FINANCIAL SERVICES
UBL,UBL.NS,United Breweries Ltd.,CONSUMER GOODS
MCDOWELL-N,MCDOWELL-N.NS,United Spirits Ltd.,CONSUMER GOODS
VGUARD,VGUARD.NS,V-Guard Industries Ltd.,CONSUMER GOODS
VMART,VMART.NS,V-Mart Retail Ltd.,CONSUMER GOODS
VIPIND,VIPIND.NS,V.I.P. Industries Ltd.,CONSUMER GOODS
VRLLOG,VRLLOG.NS,VRL Logistics Ltd.,SERVICES
VSTIND,VSTIND.NS,VST Industries Ltd.,CONSUMER GOODS
WABAG,WABAG.NS,Va Tech Wabag Ltd.,SERVICES
VAKRANGEE,VAKRANGEE.NS,Vakrangee Ltd.,IT
VTL,VTL.NS,Vardhman Textiles Ltd.,TEXTILES
VARROC,VARROC.NS,Varroc Engineering Ltd.,AUTOMOBILE
VBL,VBL.NS,Varun Beverages Ltd.,CONSUMER GOODS
VEDL,VEDL.NS,Vedanta Ltd.,METALS
VENKEYS,VENKEYS.NS,Venky's (India) Ltd.,CONSUMER GOODS
VINATIORGA,VINATIORGA.NS,Vinati Organics Ltd.,CHEMICALS
IDEA,IDEA.NS,Vodafone Idea Ltd.,TELECOM
VOLTAS,VOLTAS.NS,Voltas Ltd.,CONSUMER GOODS
WABCOINDIA,WABCOINDIA.NS,WABCO India Ltd.,AUTOMOBILE
WELCORP,WELCORP.NS,Welspun Corp Ltd.,METALS
WELSPUNIND,WELSPUNIND.NS,Welspun India Ltd.,TEXTILES
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,CONSUMER GOODS
WIPRO,WIPRO.NS,Wipro Ltd.,IT
WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,PHARMA
YESBANK,YESBANK.NS,Yes Bank Ltd.,FINANCIAL SERVICES
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,IT
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Ltd.,CONSUMER GOODS
ECLERX,ECLERX.NS,eClerx Services Ltd.,IT
